#Data tag : 24v2 , Norm tag: composite
#+--------------+-------------------+------+------+----------------+---------------+
#  run:fill       time                nls    ncms   delivered(/fb)   recorded(/fb)  
#+--------------+-------------------+------+------+----------------+---------------+
  394986:10874   07/24/25 11:06:54   325    325    0.154495401      0.137399274    
  394987:10874   07/24/25 13:17:01   1768   1768   0.819036953      0.774500149    
  394991:10875   07/25/25 03:07:03   305    303    0.131897265      0.123152629    
  394992:10875   07/25/25 05:21:42   231    231    0.111368702      0.103702468    
  394993:10875   07/25/25 08:00:23   656    656    0.309042865      0.291086252    
  394995:10875   07/25/25 12:21:28   644    644    0.239164759      0.226646117    
  395012:10876   07/25/25 18:33:26   375    375    0.178268085      0.166008350    
  395013:10876   07/25/25 21:04:02   4      4      0.001926675      0.000261662    
  395014:10876   07/25/25 21:15:53   98     98     0.047396250      0.043499395    
  395031:10878   07/26/25 01:20:17   446    446    0.212877727      0.196599263    
  395032:10878   07/26/25 04:16:55   312    312    0.150505813      0.137859693    
  395040:10878   07/26/25 06:43:27   122    122    0.058852664      0.049029426    
  395041:10878   07/26/25 07:33:34   102    102    0.049265157      0.042168128    
  395042:10878   07/26/25 08:15:28   74     74     0.035655024      0.033272314    
  395098:10883   07/27/25 16:26:26   314    314    0.144051198      0.130808983    
  395106:10884   07/28/25 04:36:09   504    504    0.254046201      0.234207993    
  395108:10884   07/28/25 08:00:56   365    365    0.138480036      0.130698290    
  395147:10886   07/28/25 16:40:52   23     23     0.009749802      0.005638020    
  395148:10886   07/28/25 16:53:31   979    979    0.471758633      0.438988625    
  395149:10886   07/28/25 23:17:09   1079   1079   0.466232135      0.438936285    
  395172:10887   07/29/25 09:59:16   610    610    0.279415301      0.262117271    
  395186:10887   07/29/25 13:59:49   1160   1160   0.530326401      0.493217244    
  395189:10887   07/29/25 22:08:33   130    130    0.040762744      0.039014421    
  395237:10895   07/30/25 11:41:03   600    600    0.286421230      0.265579088    
  395239:10895   07/30/25 15:40:32   10     10     0.005037280      0.004418745    
